I'M,I AM
I'D,I HAD
I'D HAVE,I WOULD'VE
I'LL,I WILL
I'VE,I HAVE
YOU'RE,YOU ARE
YOU'LL,YOU WILL
YOU'D,YOU WOULD
YOU'VE,YOU HAVE
WE'RE,WE ARE,WE WERE
WE'VE,WE HAVE
WE'LL,WE WILL
WE'D,WE WOULD
HE'S,HE IS,HE WAS
HE'LL,HE WILL
HE'D,HE HAD
SHE'S,SHE IS,SHE WAS
SHE'LL,SHE WILL
SHE'D,SHE HAD
IT'S,IT IS,IT WAS
IT'LL,IT WILL
THAT'S,THAT IS,THAT WAS
THAT'LL,THAT WILL
THEY'RE,THEY ARE
THEY'LL,THEY WILL 
THERE'S,THERE IS,THERE WAS
HERE'S,HERE IS,HERE WAS
WHO'LL,WHO WILL
LET'S,LET US
WHO'S,WHO IS
WHERE'S,WHERE IS
WHAT'S,WHAT IS,WHAT WAS
THERE'LL,THERE WILL
SOMEBODY'S,SOMEBODY IS
EVERYBODY'S,EVERYBODY IS
WOULD'VE,WOULD HAVE
ONE'S,ONE IS
HADN'T,HAD NOT
HASN'T,HAS NOT
HAVEN'T,HAVE NOT
ISN'T,IS NOT
AREN'T,ARE NOT
WON'T,WILL NOT
WOULDN'T,WOULD NOT
SHOULDN'T,SHOULD NOT
DON'T,DO NOT
DIDN'T,DID NOT
'CAUSE,BECAUSE
KILLING,KILLIN'
OKAY,OK,O K
SR,SENIOR
JR,JUNIOR
VOL,VOLUME
THOUSAND,THOUSAND AND
HUNDRED,HUNDRED AND
STORYTELLER,STORY TELLER
T SHIRT,TSHIRT
ANALOGUE,ANALOG
CATALOGUE,CATALOG
DIALOGUE,DIALOG
LEUKAEMIA,LEUKEMIA
MANOEUVRE,MANEUVER
OESTROGEN,ESTROGEN
BREATHALYSE,BREATHALYZE
TRAVELLED,TRAVELED
TRAVELLING,TRAVELING
TRAVELLER,TRAVELER
ACKNOWLEDGMENT,ACKNOWLEDGEMENT
MAMMA,MAMA
NEIGHBOURHOOD,NEIGHBORHOOD
CANCELLED,CANCELED
DINING,DINNING
FLACK,FLAK
GLENDA,GLINDA
BANISTER,BANNISTER
TOOMBS,TOOMS
CRESSWELL,CRESWELL
FORTH,FOURTH
LEARNT,LEARNED
BLONDE,BLOND
LEVELLING,LEVELING
CENTRES,CENTERS
CENTRE,CENTER
CM,CENTIMETER,CENTIMETRE
MM,MILLIMETER,MILLIMETRE
KM,KILOMETER,KILOMETRE
METRE,METER
METRES,METERS
CENTIMETRES,CENTIMETERS
MILLIMETRES,MILLIMETERS
GOTTA,GOT TO
GONNA,GOING TO
WANNA,WANT TO
KILOMETRES,KILOMETERS
COUNSELED,COUNSELLED
SPLENDOUR,SPLENDOR
DISCOLOUR,DISCOLOR
DOCTOR,DR,DR.
MRS,MISSES,MISSUS
MR,MISTER
ONE HUNDRED,A HUNDRED
COMPANY'S,COMPANY HAS
JUMPSTART,JUMP START
RIGHTNOW,RIGHT NOW
EVERYONE,EVERY ONE
NAME'S,NAME IS
GRANDKIDS,GRAND KIDS
GRANDKID,GRAND KID
MEALTIMES,MEAL TIMES
ALRIGHT,ALL RIGHT
GROWNUPS,GROWN UPS
SCHOOLDAYS,SCHOOL DAYS
JUDGMENT,JUDGEMENT
SCHOOLCHILDREN,SCHOOL CHILDREN
CASEBOOK,CASE BOOK
HUNGOVER,HUNG OVER
HANDCLAPS,HAND CLAPS
HANDCLAP,HAND CLAP
HEATWAVE,HEAT WAVE
ONTO,ON TO
GUNSHOT,GUN SHOT
MOTHERFUCKER,MOTHER FUCKER
MAYBE,MAY BE
FAMILY IS,FAMILY'S
OFTENTIMES,OFTEN TIMES
YOURSELF,YOUR SELF
MYSELF,MY SELF
